period,expected_portfolio_return,realized_portfolio_return,objective,is_robust,kappa,delta,n_assets,n_invested,sum_w
2025-04-01,-0.00371546,0.00073635,-0.04941019,1,4.22806805,1.00000000,20,10,1.00000000
2025-04-03,-0.00265320,-0.00000413,-0.04802905,1,4.30093637,1.00000000,20,9,1.00000000
2025-04-07,0.04040618,-0.00187114,-0.02633933,1,4.24185231,1.00000000,20,6,1.00000000
2025-04-09,0.01740183,0.01491175,-0.03143548,1,4.28701286,1.00000000,20,10,1.00000000
2025-04-11,0.04885662,0.00513619,-0.02024757,1,4.29312257,1.00000000,20,5,1.00000000
2025-04-15,0.05103743,0.00311721,-0.00826328,1,4.13531219,1.00000000,20,6,1.00000000
2025-04-17,0.41171664,-0.00520475,0.20999650,1,4.14287665,1.00000000,20,1,1.00000000
2025-04-22,0.03970797,0.01098282,-0.02644702,1,4.15468976,1.00000000,20,7,1.00000000
2025-04-24,0.00548578,0.00549841,-0.03275294,1,4.12998355,1.00000000,20,8,1.00000000
2025-04-28,0.17294090,0.01083455,0.04636816,1,4.16641859,1.00000000,20,7,1.00000000
2025-04-30,0.04430779,0.00157188,-0.01338369,1,4.36406866,1.00000000,20,10,1.00000000
2025-05-02,0.00954162,-0.00048505,-0.02699617,1,4.35825102,1.00000000,20,11,1.00000000
2025-05-06,0.01357568,0.00126077,-0.02499134,1,4.45363418,1.00000000,20,9,1.00000000
2025-05-08,0.00883836,-0.00251266,-0.02805950,1,4.43614415,1.00000000,20,9,1.00000000
2025-05-12,0.01947778,-0.00075207,-0.02561350,1,4.44436843,1.00000000,20,8,1.00000000
2025-05-14,-0.00408896,-0.00230168,-0.04115896,1,4.40846416,1.00000000,20,12,1.00000000
2025-05-16,0.01423862,0.00044504,-0.02657092,1,4.40004842,1.00000000,20,10,1.00000000
2025-05-20,0.03374488,-0.00280956,-0.01923000,1,4.26874109,1.00000000,20,8,1.00000000
2025-05-22,0.09831996,0.00388409,0.03000940,1,4.24756338,1.00000000,20,6,1.00000000
2025-05-27,0.00413811,0.00342933,-0.03279031,1,4.19143701,1.00000000,20,11,1.00000000
2025-05-29,0.00080489,0.00189478,-0.03429219,1,4.19631251,1.00000000,20,9,1.00000000
2025-06-02,0.00092157,-0.00076685,-0.03336742,1,3.96038294,1.00000000,20,10,1.00000000
2025-06-04,0.06130850,-0.00017066,0.00320368,1,3.96326833,1.00000000,20,6,1.00000000
2025-06-06,0.03537679,-0.00302409,-0.01283964,1,4.15337716,1.00000000,20,8,1.00000000
2025-06-10,0.13050816,0.00591468,0.01542240,1,4.10660580,1.00000000,20,6,1.00000000
2025-06-12,-0.00061178,0.00255714,-0.04080594,1,4.01091658,1.00000000,20,9,1.00000000
2025-06-16,0.05859696,0.00192127,-0.02002065,1,3.95407571,1.00000000,20,10,1.00000000
2025-06-18,0.02896890,0.00110265,-0.02563123,1,4.24728235,1.00000000,20,6,1.00000000
2025-06-23,0.00413405,0.00172937,-0.03827034,1,4.28737017,1.00000000,20,6,1.00000000
2025-06-25,0.06071866,0.00200086,-0.02123765,1,4.28983918,1.00000000,20,12,1.00000000
2025-06-27,-0.00017907,-0.00024020,-0.04070430,1,4.32336273,1.00000000,20,6,1.00000000
2025-07-01,0.00703895,-0.00070255,-0.03113401,1,4.43394982,1.00000000,20,7,1.00000000
2025-07-03,0.01291526,-0.00054891,-0.02724047,1,4.43826587,1.00000000,20,8,1.00000000
2025-07-08,-0.00201331,-0.00071069,-0.04004580,1,4.45612887,1.00000000,20,6,1.00000000
2025-07-10,0.00972765,-0.00050033,-0.03031998,1,4.46007593,1.00000000,20,4,1.00000000
2025-07-14,0.01798075,0.00010034,-0.01922998,1,4.47881076,1.00000000,20,5,1.00000000
2025-07-16,0.05536436,0.00101306,-0.01218822,1,4.48345760,1.00000000,20,10,1.00000000
